em_ortsbezüge,em_ortsbezüge_wikidata,wikidata_id,coordinate_location_wikidata,coord_lat,coord_lon
British Columbia (Kanada/Canada),British Columbia,Q1973,"54.5,-124.5",54.5,-124.5
Brixton,Brixton,Q146690,"51.4575,-0.1175",51.4575,-0.1175
Bromberg,Bromberg,Q325114,"52.83,17.5",52.83,17.5
Brooklyn,Brooklyn,Q18419,"40.65083333333333,-73.94972222222222",40.65083333333333,-73.94972222222222
Broom,Broome,Q606294,"-17.961944444444,122.23611111111",-17.961944444444,122.23611111111
Brühl bei Köln,Brühl,Q7036,"50.833333333333,6.9",50.833333333333,6.9
Brüssel,City of Brussels,Q239,"50.846666666666664,4.351666666666667",50.846666666666664,4.351666666666667
Brüssel (Bruxelles),City of Brussels,Q239,"50.846666666666664,4.351666666666667",50.846666666666664,4.351666666666667
Buchara (Usbekistan),Bukhara Region,Q487372,"40.166666666667,63.666666666667",40.166666666667,63.666666666667
Bückeburg,Bückeburg,Q157035,"52.260833333333,9.0491666666667",52.260833333333,9.0491666666667
Budapest,Budapest,Q1781,"47.498333333333,19.040833333333",47.498333333333,19.040833333333
Budapest (Ungarn),Budapest,Q1781,"47.498333333333,19.040833333333",47.498333333333,19.040833333333
Büderich,Büderich,Q1020465,"51.2467,6.695",51.2467,6.695
Buea,Buea,Q312209,"4.1666666666667,9.2333333333333",4.1666666666667,9.2333333333333
Buenos Aires,Buenos Aires,Q1486,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444
Buenos Aires (Argentinen),Buenos Aires,Q1486,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444
Buenos Aires (Argentinien),Buenos Aires,Q1486,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444
Buenos Aires (Argentinien) (?),Buenos Aires,Q1486,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444
Buer in Westfalen,Buer,Q14906499,,,
Bukoba (Ostafrika),Bukoba,Q654259,"-1.3333333333333,31.816666666667",-1.3333333333333,31.816666666667
Bulawayo,Bulawayo,Q193250,"-20.166666666667,28.566666666667",-20.166666666667,28.566666666667
Buloa,Buloa,Q19724511,"-5.108993414651706,119.43587018632255",-5.108993414651706,119.43587018632255
Bumbuli (Usambara),Usambara,Q25619299,,,
"Bundesstaat, Arizona",Arizona,Q816,"34.28666666666667,-111.65694444444445",34.28666666666667,-111.65694444444445
"Bundesstaat, Missouri",Missouri,Q1581,"38.5,-92.5",38.5,-92.5
"Bundesstaat, New Mexico",New Mexico,Q1522,"34,-106",34,-106
"Bundesstaat, Northern Territory [...]",Northern Territory,Q3235,"-20,133",-20,133
"Bundesstaat, Western Australia [...]",Western Australia,Q3206,"-26,121",-26,121
Bunzlau,Bolesławiec,Q156828,"51.266666666667,15.566666666667",51.266666666667,15.566666666667
Burgstall,Burgstall,,,,
Burundi,Kingdom of Burundi,Q1192936,"-3.666667,29.816667",-3.666667,29.816667
Buschir,Bushehr,Q158928,"28.968888888888888,50.836666666666666",28.968888888888888,50.836666666666666
Bützow,Bützow,Q536634,"53.85,11.983333333333",53.85,11.983333333333
Calabrien,Calabria,Q1458,"39,16.5",39,16.5
"Calamba (Provinz La Laguna, Luzon)",Calamba,Q75978,"14.216666666667,121.16666666667",14.216666666667,121.16666666667
Calchaquigebiet,Calchaquí Valleys,Q525820,"-26.44853851111111,-65.9764462888889",-26.44853851111111,-65.9764462888889
Calcutta,Kolkata,Q1348,"22.5675,88.37",22.5675,88.37
Calcutta (Indien),Kolkata,Q1348,"22.5675,88.37",22.5675,88.37
Calcutta (Kalkutta),Kolkata,Q1348,"22.5675,88.37",22.5675,88.37
Camberwell (London),Camberwell,Q385060,"51.4736,-0.0912",51.4736,-0.0912
Cambridge,Cambridge,Q350,"52.208055555556,0.1225",52.208055555556,0.1225
Cambridge (Großbritannien),Cambridge,Q350,"52.208055555556,0.1225",52.208055555556,0.1225
Campden,Campden,,,,
Campeche,Campeche,Q80908,"19,-90.4",19,-90.4
Cape Colony,Cape Colony,Q370736,"-33,18",-33,18
Cape Town (Südafrika),Cape Town,Q5465,"-33.92527777777778,18.42388888888889",-33.92527777777778,18.42388888888889
Capetown (Südafrika),Cape Town,Q5465,"-33.92527777777778,18.42388888888889",-33.92527777777778,18.42388888888889
Caracas (Venezuela),Caracas,Q1533,"10.50611111111111,-66.91444444444444",10.50611111111111,-66.91444444444444
Carlshafen [...],Bad Karlshafen station,Q4840340,"51.64638889,9.44555556",51.64638889,9.44555556
Carlsruhe (Oberschlesien),Pokój,Q910522,"50.9,17.833333333333",50.9,17.833333333333
,,,"50.90265,17.83751",50.90265,17.83751
Carlstadt,Karlovac,Q3617,"45.493055555556,15.555833333333",45.493055555556,15.555833333333
Cartago,Cartago,Q30617,"9.864291666666666,-83.92071111111112",9.864291666666666,-83.92071111111112
Cartago (Costa Rica),Cartago,Q30617,"9.864291666666666,-83.92071111111112",9.864291666666666,-83.92071111111112
Casabinda,Casabinda,,,,
Casapalca (Peru),Cerro Casapalca,Q31644700,"-11.085,-76.603055555556",-11.085,-76.603055555556
Casas Grandas,Casas Grandes,Q853265,"30.37583,-107.95556",30.37583,-107.95556
Celebes (Sulawesi),Sulawesi,Q3812,"-2,121",-2,121
Celle (Hannover),Hannover–Celle railway line,Q98540986,,,
"Cermakowitz/Cermákovice (Mähren, Tschechische Republik)",Čermákovice,Q2203559,"49.032090681211,16.194976996792",49.032090681211,16.194976996792
Ceylon,Sri Lanka,Q854,"7,81",7,81
Ceylon (Sri Lanka),Sri Lanka,Q854,"7,81",7,81
Chaco (Argentinien),Chaco Province,Q44757,"-27.451388888889,-58.986666666667",-27.451388888889,-58.986666666667
Chaco (Paraguay),Chaco,Q2088711,"-22.105861111111,-59.256638888889",-22.105861111111,-59.256638888889
Chamonix,Chamonix-Mont-Blanc,Q83236,"45.922222222222,6.8688888888889",45.922222222222,6.8688888888889
Charlottenburg,Charlottenburg,Q162049,"52.516666666667,13.3",52.516666666667,13.3
Charlottenburg (bei Berlin),Charlottenburg,Q162049,"52.516666666667,13.3",52.516666666667,13.3
Charlottenburg [...],Charlottenburg,Q162049,"52.516666666667,13.3",52.516666666667,13.3
Charlottenburg bei Berlin,Charlottenburg,Q162049,"52.516666666667,13.3",52.516666666667,13.3
Charlottenburg-Westend,Westend,Q649947,"52.5125,13.2625",52.5125,13.2625
Chascomus (Argentinien),Chascomús,Q2677190,"-35.575,-58.008888888889",-35.575,-58.008888888889
Chattanooga (Tennessee),Chattanooga,Q186702,"35.045555555556,-85.267222222222",35.045555555556,-85.267222222222
Chefoo (Yantai),Yantai,Q210493,"37.464444444444446,121.44777777777777",37.464444444444446,121.44777777777777
Chemnitz,Chemnitz,Q2795,"50.833333333333,12.916666666667",50.833333333333,12.916666666667
Chemnitz [...],Chemnitz,Q2795,"50.833333333333,12.916666666667",50.833333333333,12.916666666667
Chevillon,Chevillon,Q750549,"48.528611111111,5.1313888888889",48.528611111111,5.1313888888889
Chicago,Chicago,Q1297,"41.88194444444444,-87.62777777777778",41.88194444444444,-87.62777777777778
"Chicago (Vereinigte Staaten, USA)",Chicago,Q1297,"41.88194444444444,-87.62777777777778",41.88194444444444,-87.62777777777778
Chile,Chile,Q298,"-33,-71",-33,-71
Chile [...],Chile,Q298,"-33,-71",-33,-71
China,Republic of China,Q13426199,"40,110",40,110
"China (?), China zu prüfen",Republic of China,Q13426199,"40,110",40,110
China [...],Republic of China,Q13426199,"40,110",40,110
"China, Taiwan (Formosa), Korea, Japan, Südsee",Taiwan Island,Q22502,"23.766666666667,121",23.766666666667,121
Chinde,Chinde,Q2261361,"-18.583333333333,36.466666666667",-18.583333333333,36.466666666667
Chinesisch-Turkestan,Xinjiang,Q34800,"43.8253,87.61379",43.8253,87.61379
Chiromo,Chiromo,Q5101966,"-16.55,35.13333333",-16.55,35.13333333
Chotscho,Gaochang,Q877381,"42.852777777778,89.529166666667",42.852777777778,89.529166666667
Christiania,Oslo,Q585,"59.913333333333334,10.738888888888889",59.913333333333334,10.738888888888889
Christmas Lake Valley (Oregon),Christmas Valley,Q3478023,"43.2364,-120.636",43.2364,-120.636
Clayoquot (Vancouver Island),Clayoquot,Q15210858,"49.16666667,-125.93333333",49.16666667,-125.93333333
Coban (Guatemala),Cobán,Q867077,"15.483333333333,-90.366666666667",15.483333333333,-90.366666666667
Coblenz (Koblenz),Koblenz,Q3104,"50.359722222222,7.5977777777778",50.359722222222,7.5977777777778
Coburg,Coburg,Q14821,"50.258469444444444,10.957869444444444",50.258469444444444,10.957869444444444
Cochinchina,Cochinchina,Q505503,,,
Colima (Mexiko),Colima,Q61320,"19.242922222222223,-103.72811888888889",19.242922222222223,-103.72811888888889
Collingwood Bay (Britisch Papua Neuguinea),Collingwood Bay,Q5147291,"-9.33333333,149.33333333",-9.33333333,149.33333333
Cöln (Köln),Cologne,Q365,"50.942222222222,6.9577777777778",50.942222222222,6.9577777777778
Cöln [Köln],Cologne,Q365,"50.942222222222,6.9577777777778",50.942222222222,6.9577777777778
Cöln am Rhein (Köln),Cologne,Q365,"50.942222222222,6.9577777777778",50.942222222222,6.9577777777778
Colombo (Ceylon),Colombo (Ceylon),Q104621321,,,
Colombo (Ceylon/Sri Lanka),Colombo,Q35381,"6.926666666666667,79.86055555555555",6.926666666666667,79.86055555555555
Concepción (Chile),Concepción,Q1880,"-36.82694444444444,-73.05027777777778",-36.82694444444444,-73.05027777777778
Constantia/Wynberg (Kapstadt) [...],Wynberg,Q667463,"-34.004166666667,18.470277777778",-34.004166666667,18.470277777778
Constantinopel (Konstantinopel),Istanbul,Q406,"41.01,28.960277777778",41.01,28.960277777778
Conway (Alaska),Conway Creek,Q55584135,"64.780555555556,-164.27222222222",64.780555555556,-164.27222222222
Cooktown,Cooktown,Q1020734,"-15.468333333333,145.25027777778",-15.468333333333,145.25027777778
Cordoba,Córdoba,Q5818,"37.89,-4.78",37.89,-4.78
Cordoba (Argentinien),Córdoba,Q44210,"-31.416666666667,-64.183333333333",-31.416666666667,-64.183333333333
Coron (Maine-et-Loire),Coron,Q1390675,"47.1275,-0.64416666666667",47.1275,-0.64416666666667
Cöslin,Koszalin,Q62868,"54.190277777778,16.181666666667",54.190277777778,16.181666666667
Cossebaude,Cossebaude,Q1117549,"51.085,13.6272",51.085,13.6272
Costa Rica,Costa Rica,Q800,"10,-84",10,-84
Costa Rica [...],Costa Rica,Q800,"10,-84",10,-84
Cottbus,Cottbus,Q3214,"51.76080555555556,14.331861111111111",51.76080555555556,14.331861111111111
Courbevoie (bei Asnières/Seine),Courbevoie,Q189715,"48.897222222222,2.2522222222222",48.897222222222,2.2522222222222
Crawfordsville (Indiana),Crawfordsville,Q986629,"40.038888888889,-86.896666666667",40.038888888889,-86.896666666667
Cresson (Pennsylvania),Cresson,Q1130655,"40.4625,-78.5864",40.4625,-78.5864
,,,"40.45979,-78.59168",40.45979,-78.59168
Crossen,Crossen an der Elster,Q39795,"50.976388888889,11.977777777778",50.976388888889,11.977777777778
Cuddalore (Britisch Indien),Cuddalore,Q279951,"11.75,79.75",11.75,79.75
Curitiba (Brasilien),Curitiba,Q4361,"-25.429722222222,-49.271944444444",-25.429722222222,-49.271944444444
Cuttack (Katak/Cuttek),Cuttack,Q207324,"20.45,85.866666666667",20.45,85.866666666667
Cuyaba,Cuiabá,Q170762,"-15.595833333333,-56.096944444444",-15.595833333333,-56.096944444444
Cuyaba (Cuiabá),Cuiabá,Q170762,"-15.595833333333,-56.096944444444",-15.595833333333,-56.096944444444
Cuzco,Cusco Department,Q205057,"-13.26,-72.11",-13.26,-72.11
Dänemark,Denmark,Q35,"56,10",56,10
Danzig,Gdańsk,Q1792,"54.3482907,18.6540233",54.3482907,18.6540233
Danzig (Westpreußen),Reichsgau Danzig-West Prussia,Q510368,,,
Dar-es-Salaam,Dar es Salaam,Q1960,"-6.816111111111111,39.280277777777776",-6.816111111111111,39.280277777777776
Daressalam (Dar-es-Salaam),Dar es Salaam,Q1960,"-6.816111111111111,39.280277777777776",-6.816111111111111,39.280277777777776
Daressalam (Dar-es-Salaam) (Tansania / Deutsch-Ostafrika),Dar es Salaam,Q1960,"-6.816111111111111,39.280277777777776",-6.816111111111111,39.280277777777776
Daressalam (Dar-es-Salam),Dar es Salaam,Q1960,"-6.816111111111111,39.280277777777776",-6.816111111111111,39.280277777777776
Darmstadt,Darmstadt,Q2973,"49.866666666667,8.65",49.866666666667,8.65
Darmstadt [...],Darmstadt,Q2973,"49.866666666667,8.65",49.866666666667,8.65
Darnley Insel (Australien),Darnley Island,Q1166531,"-9.586944444444445,143.77",-9.586944444444445,143.77
David (Provinz Chiriquí),David District,Q2215578,"8.4333333333333,-82.433333333333",8.4333333333333,-82.433333333333
,,,"8.4,-82.4",8.4,-82.4
Dehra Dun,Dehradun,Q199528,"30.318,78.029",30.318,78.029
Delaware,Delaware,Q1393,"39,-75.5",39,-75.5
Delft (Niederlande),Delft,Q690,"52.01166666666666,4.359166666666667",52.01166666666666,4.359166666666667
Deli (Sumatra),Sultanate of Deli,Q2030015,"2,99",2,99
Den Haag,The Hague,Q36600,"52.08,4.31",52.08,4.31
Dessau,Dessau,Q487070,"51.834166666667,12.246111111111",51.834166666667,12.246111111111
Detmold,Detmold,Q3922,"51.937777777778,8.8833333333333",51.937777777778,8.8833333333333
Detmold [...],Detmold,Q3922,"51.937777777778,8.8833333333333",51.937777777778,8.8833333333333
"Deutsch Krone (heute Walcz, Polen)",Wałcz,Q935744,"53.266666666667,16.466666666667",53.266666666667,16.466666666667
"Deutsch-Lissa, Leśnica (ehemals Deutsch Lissa) ist ein Stadtteil im Westen der Stadt Breslau",Leśnica,Q2594514,"51.14583333,16.86666667",51.14583333,16.86666667
Deutsch-Neu-Guinea (Bismarckarchipel),Bismarck Archipelago,Q154628,"-5,150.1",-5,150.1
Deutsch-Neuguinea,German New Guinea,Q165008,"-4.2,152.17",-4.2,152.17
Deutsch-Ostafrika,German East Africa,Q153963,"-2.4130555555555557,30.54361111111111",-2.4130555555555557,30.54361111111111
Deutsch-Rixdorf,Rixdorf,Q50827814,"52.4741,13.4452",52.4741,13.4452
Deutsches Reich,Weimar Republic,Q41304,"52.52,13.375",52.52,13.375
Dhubri (Assam),Dhubri,Q1266586,"26.02,90",26.02,90
Dissen (Hannover),Dissen am Teutoburger Wald,Q522086,"52.11575,8.203416666666667",52.11575,8.203416666666667
"Distrikt, Deli",Sultanate of Deli,Q2030015,"2,99",2,99
"Distrikt, Ghazipur [...]",Ghazipur district,Q1287993,"25.583222222222,83.580861111111",25.583222222222,83.580861111111
"Distrikt, Storneberg",Stormberg Mountains,Q2562097,"-31.4475,26.7175",-31.4475,26.7175
,,,"-31.416666666667,26.833333333333",-31.416666666667,26.833333333333
"Distrikthauptstadt, Songea [...]",Songea,Q794813,"-10.683333333333,35.65",-10.683333333333,35.65
Djokdjakarta (Java),Yogyakarta,Q7568,"-7.800456766490443,110.39128022985493",-7.800456766490443,110.39128022985493
Dole (Frankreich),arrondissement of Dole,Q701143,"47.08333333,5.48333333",47.08333333,5.48333333
,,,"47.083333333333,5.5",47.083333333333,5.5
Dordrecht,Dordrecht,Q26421,"51.795833333333334,4.678333333333334",51.795833333333334,4.678333333333334
"Dorf, Bindow (bei Königs Wusterhausen)",Bindow,Q863658,"52.2839,13.7439",52.2839,13.7439
Dorr,Dorr,,,,
Dresden,Dresden,Q1731,"51.0493286,13.7381437",51.0493286,13.7381437
Dresden (Sachsen),Dresden,Q1731,"51.0493286,13.7381437",51.0493286,13.7381437
Dresden [...],Dresden,Q1731,"51.0493286,13.7381437",51.0493286,13.7381437
Dresden-Blasewitz,Blasewitz,Q8897,"51.052777777778,13.795833333333",51.052777777778,13.795833333333
Duala,Douala,Q132830,"4.05,9.7",4.05,9.7
Duala (Kamerun),Douala,Q132830,"4.05,9.7",4.05,9.7
Duala (Kamerun) [...],Douala,Q132830,"4.05,9.7",4.05,9.7
Duala (Westafrika),Douala,Q132830,"4.05,9.7",4.05,9.7
Duke of York Inseln,Duke of York Islands,Q707916,"-4.16666667,152.45",-4.16666667,152.45
Dume (Dahomey),Doumé,Q5302264,"4.24,13.4534",4.24,13.4534
Dumebezirk (Kamerun),Doumé,Q5302264,"4.24,13.4534",4.24,13.4534
Dunkerque (Dünkirchen),Dunkirk,Q45797,"51.037777777778,2.3763888888889",51.037777777778,2.3763888888889
Durban,Durban,Q5468,"-29.858333333333,31.025",-29.858333333333,31.025
Durban (Südafrika),Durban,Q5468,"-29.858333333333,31.025",-29.858333333333,31.025
Düsseldorf,Düsseldorf,Q1718,"51.22555555555556,6.776666666666666",51.22555555555556,6.776666666666666
East London,East London,Q209537,"-33.0175,27.904722222222222",-33.0175,27.904722222222222
Eberfeld,Elberfeld,Q702259,"51.257222,7.149167",51.257222,7.149167
Ebernhahn,Ebernhahn,Q564021,"50.472777777778,7.77",50.472777777778,7.77
Eberswalde,Eberswalde,Q9306,"52.833055555556,13.833055555556",52.833055555556,13.833055555556
Eckernförde,Eckernförde,Q490453,"54.474166666667,9.8377777777778",54.474166666667,9.8377777777778
Ecuador,Ecuador,Q736,"-1,-78",-1,-78
Edinburgh (Großbritannien),Edinburgh,Q23436,"55.95333333333333,-3.1891666666666665",55.95333333333333,-3.1891666666666665
Eichstedt/Altmark (nördlich von Magdeburg),Eichstedt,Q634985,"52.67986111111111,11.852180555555556",52.67986111111111,11.852180555555556
Eilenburg,Eilenburg,Q12055,"51.460833333333,12.635833333333",51.460833333333,12.635833333333
Eisenach,Eisenach,Q7070,"50.974722222222,10.324444444444",50.974722222222,10.324444444444
El Callao,Municipio El Callao,Q2450334,"7.176388888888889,-61.87361111111111",7.176388888888889,-61.87361111111111
Elberfeld,Elberfeld,Q702259,"51.257222,7.149167",51.257222,7.149167
Elberfeld (heute zu Wuppertal),Elberfeld,Q702259,"51.257222,7.149167",51.257222,7.149167
Elizabeth (New Jersey),Elizabeth,Q138311,"40.662222222222,-74.209166666667",40.662222222222,-74.209166666667
Elsfleth,Elsfleth,Q509939,"53.233333333333,8.4666666666667",53.233333333333,8.4666666666667
Emmerich (am Niederrhein),Emmerich am Rhein,Q57006,"51.835,6.2452777777778",51.835,6.2452777777778
England [...],England,Q21,"53,-1",53,-1
Erding,Erding,Q15980,"48.3001,11.908230555555555",48.3001,11.908230555555555
Erfurt,Erfurt,Q1729,"50.97805555555556,11.028888888888888",50.97805555555556,11.028888888888888
Erlangen,Erlangen,Q3126,"49.5925,11.005",49.5925,11.005
Eschweiler-Pumpe,Pumpe-Stich,Q2118153,"50.8031,6.24139",50.8031,6.24139
Essen,Essen,Q2066,"51.450833333333,7.0130555555556",51.450833333333,7.0130555555556
Essen a.d. Ruhr,Essen,Q2066,"51.450833333333,7.0130555555556",51.450833333333,7.0130555555556
Essen-Altenessen,Altenessen,Q1368607,"51.496389,7.009167",51.496389,7.009167
Essex,Essex,Q23240,"51.75,0.58333333333333",51.75,0.58333333333333
Eßlingen,Esslingen am Neckar,Q3786,"48.740555555556,9.3108333333333",48.740555555556,9.3108333333333
Etén (Peru),Eten,Q27557903,"-6.90806,-79.86417",-6.90806,-79.86417
Eupen,Eupen,Q151831,"50.633333333333,6.0333333333333",50.633333333333,6.0333333333333
Eutin (Holstein),Eutin,Q490445,"54.137777777778,10.618055555556",54.137777777778,10.618055555556
Eylau (Ostpreußen),Preußisch Eylau District,Q314499,"54.3833,20.65",54.3833,20.65
Farenda Gratidão (Angola) [...],Bengo Province,Q191299,"-8.7833333333333,13.983333333333",-8.7833333333333,13.983333333333
"Feldbach (Steiermark, Österreich)",Feldkirch,Q183104,"47.238055555556,9.5983333333333",47.238055555556,9.5983333333333
Feldkirch,Feldkirch,Q183104,"47.238055555556,9.5983333333333",47.238055555556,9.5983333333333
Feuerland (Grande Isla de Terra Fuego),Isla Grande de Tierra del Fuego,Q1674067,"-54.166666666667,-68.5",-54.166666666667,-68.5
Fianga [...],Fianga,Q3071111,"9.9152777777778,15.1375",9.9152777777778,15.1375
Fidji,Fiji,Q712,"-18,178",-18,178
Fidschi-Inseln,Fijian Archipelago,Q2389513,"-17.81333333,179.4122222",-17.81333333,179.4122222
,,,"-18,178",-18,178
"Fiji, Neu-Kaledonien, Salomon-Inseln [...]",Fiji,Q712,"-18,178",-18,178
Finkenkrug,Finkenkrug,Q1417477,"52.5634,13.0425",52.5634,13.0425
Finnisch-Lappland,Lapland,Q5700,"67,26",67,26
Finschhafen (?),Finschhafen,Q15217719,"-6.6,147.85",-6.6,147.85
Flandern,Flanders,Q234,"51,4.5",51,4.5
Fleurier (Schweiz) [...],Fleurier,Q628354,"46.9,6.58333",46.9,6.58333
Fleurieu-sur-Saône,Fleurieu-sur-Saône,Q977460,"45.860833333333,4.8463888888889",45.860833333333,4.8463888888889
Florenz (Toscana / Italien),Florence,Q2044,"43.771388888889,11.254166666667",43.771388888889,11.254166666667
Formosa,Taiwan,Q865,"24,121",24,121
Formosa (heutiges Taiwan),Taiwan,Q865,"24,121",24,121
Formosa (Taiwan),Taiwan,Q865,"24,121",24,121
Forsthaus Priemern bei Seehausen (Altmark),Forsthaus Priemern,Q66242161,"52.8845,11.64415",52.8845,11.64415
Foumban,Foumban,Q1439847,"5.7166666666667,10.916666666667",5.7166666666667,10.916666666667
"Frankenhausen, Schwarzburg-Rudolstadt",Frankenhausen,Q1444635,"50.8425,12.39388889",50.8425,12.39388889
Frankfurt,Frankfurt,Q1794,"50.11055555555556,8.682222222222222",50.11055555555556,8.682222222222222
Frankfurt a. M.,Frankfurt,Q1794,"50.11055555555556,8.682222222222222",50.11055555555556,8.682222222222222
Frankfurt a./M [...],Frankfurt,Q1794,"50.11055555555556,8.682222222222222",50.11055555555556,8.682222222222222
Frankfurt a./M.,Frankfurt,Q1794,"50.11055555555556,8.682222222222222",50.11055555555556,8.682222222222222
Frankfurt a./M.- Praunheim,Praunheim,Q314881,"50.131666666667,8.6097222222222",50.131666666667,8.6097222222222
Frankfurt a./O.,Frankfurt (Oder),Q4024,"52.342083333333335,14.551666666666666",52.342083333333335,14.551666666666666
Frankfurt a./O. [...],Frankfurt (Oder),Q4024,"52.342083333333335,14.551666666666666",52.342083333333335,14.551666666666666
Frankfurt a.M.,Frankfurt,Q1794,"50.11055555555556,8.682222222222222",50.11055555555556,8.682222222222222
Frankfurt a.O.,Frankfurt (Oder),Q4024,"52.342083333333335,14.551666666666666",52.342083333333335,14.551666666666666
Frankfurt am Main,Frankfurt,Q1794,"50.11055555555556,8.682222222222222",50.11055555555556,8.682222222222222
Frankfurt am Main [...],Frankfurt,Q1794,"50.11055555555556,8.682222222222222",50.11055555555556,8.682222222222222
Frankreich,France,Q142,"47,2",47,2
Französisch-Kongo [...],French Congo,Q265319,"-1,16",-1,16
Freetown (Sierra Leone),Freetown,Q3780,"8.487222222222222,-13.235555555555555",8.487222222222222,-13.235555555555555
Freiberg,Freiberg,Q14819,"50.911944444444,13.342777777778",50.911944444444,13.342777777778
Freiburg,Freiburg im Breisgau,Q2833,"47.995,7.85",47.995,7.85
Freiburg (Baden),Freiburg im Breisgau,Q2833,"47.995,7.85",47.995,7.85
Freiburg i.Br.,Freiburg im Breisgau,Q2833,"47.995,7.85",47.995,7.85
Freiburg i.Br. [...],Freiburg im Breisgau,Q2833,"47.995,7.85",47.995,7.85
Freiburg im Breisgau,Freiburg im Breisgau,Q2833,"47.995,7.85",47.995,7.85
Freiburg im Breisgau [...],Freiburg im Breisgau,Q2833,"47.995,7.85",47.995,7.85
Freienwalde,Bad Freienwalde,Q427655,"52.785555555556,14.0325",52.785555555556,14.0325
Freienwalde (Kreis Barnim),Chociwel,Q1021263,"53.466111111111,15.339722222222",53.466111111111,15.339722222222
Fribourg (Üechtland/Schweiz),Fribourg,Q36378,"46.8,7.15",46.8,7.15
Friedenau,Friedenau,Q692390,"52.472222,13.327778",52.472222,13.327778
Friedland,Friedland,Q46009,"53.659,13.5397",53.659,13.5397
Friedrich-Wilhelmshafen (Deutsch-Neuguinea),Friedrich-Wilhelmshafen,Q33223122,"-5.2166666666667,145.8",-5.2166666666667,145.8
Friedrichsruh,Friedrichsruh,Q695011,"53.529461111111,10.340338888889",53.529461111111,10.340338888889
Fritzow (bei Kammin/Pommern),Fritzow,Q15056215,"53.958814,13.439446",53.958814,13.439446
Gabès (heute in Tunesien),Gabès,Q215661,"33.881388888889,10.098333333333",33.881388888889,10.098333333333
Gabun [...],Gabon,Q1000,"-0.68333055555556,11.5",-0.68333055555556,11.5
"Gabun, Republik Kongo, Zentralafrikanische Republik, Tschad",Central African Republic,Q929,"6.7,20.9",6.7,20.9
Gandersheim,Gandersheim,Q1270682,"51.87194443,10.02527809",51.87194443,10.02527809
Garmisch,Garmisch-Partenkirchen,Q127043,"47.5,11.083333333333",47.5,11.083333333333
Garmisch-Partenkirchen,Garmisch-Partenkirchen,Q127043,"47.5,11.083333333333",47.5,11.083333333333
Gasisi,Momba District,Q13125235,"-8.812,32.363",-8.812,32.363
,,,"-8.8116666666667,32.363333333333",-8.8116666666667,32.363333333333
"Gebiet, Chaco",Chaco Province,Q44757,"-27.451388888889,-58.986666666667",-27.451388888889,-58.986666666667
"Gebiet, Chaco (?)",Chaco Province,Q44757,"-27.451388888889,-58.986666666667",-27.451388888889,-58.986666666667
"Gebiet, Chanchamayo",Chanchamayo Province,Q765311,"-11.054386111111,-75.329036111111",-11.054386111111,-75.329036111111
"Gebiet, Gran Chaco",Gran Chaco,Q208347,"-19.1622,-61.4702",-19.1622,-61.4702
"Gebiet, Ogawe","Gebiet, Ogawe",,,,
"Gebiet, Uaupé",Vaupés Department,Q234505,"0.55,-70.55",0.55,-70.55
"Gebiet, Xingu (Brasilien)",Santa Cruz do Xingu,Q2012489,"-10.155,-52.391944444444",-10.155,-52.391944444444
"Gebirge, Uluguru",Uluguru Mountains,Q426767,"-7.16666667,37.66666667",-7.16666667,37.66666667
"Gemeinde, Handschuhsheim (bei Heidelberg)",Handschuhsheim,Q1575167,"49.4283,8.68333",49.4283,8.68333
Genf (Schweiz) [...],Geneva,Q71,"46.2,6.15",46.2,6.15
Genf [...],Geneva,Q71,"46.2,6.15",46.2,6.15
Gent (Gand),Ghent,Q1296,"51.05361111111111,3.725277777777778",51.05361111111111,3.725277777777778
Genua,Genoa,Q1449,"44.407186111111,8.9339833333333",44.407186111111,8.9339833333333
Gera,Gera,Q3750,"50.87818,12.08242",50.87818,12.08242
Germersheim (Rheinhessen),Germersheim,Q22629,"49.216666666667,8.3666666666667",49.216666666667,8.3666666666667
Gernrode/Anhalt,Gernrode,Q518258,"51.724444444444,11.139166666667",51.724444444444,11.139166666667
Geroldsgrün (Bayern),Geroldsgrün,Q502840,"50.33611111111111,11.596666666666666",50.33611111111111,11.596666666666666
Gesundbrunnen,Gesundbrunnen,Q644350,"52.548611,13.390278",52.548611,13.390278
Gießen,Giessen,Q3874,"50.583333333333336,8.666666666666666",50.583333333333336,8.666666666666666
Gießen [...],Giessen,Q3874,"50.583333333333336,8.666666666666666",50.583333333333336,8.666666666666666
Gilbert-Inseln,Gilbert Islands,Q271876,"0,174",0,174
Gilbert-Inseln [...],Gilbert Islands,Q271876,"0,174",0,174
Gits (Flandern),Gits,Q2625637,"50.9967,3.0956",50.9967,3.0956
Gjövik (Norwergen),Gjøvik Municipality,Q108031,"60.7925,10.695",60.7925,10.695
Glatz (Schlesien),Glatz,Q1449970,,,
Glauchau,Glauchau,Q20071,"50.823333333333,12.544444444444",50.823333333333,12.544444444444
Glauchau (Sachsen),Glauchau,Q20071,"50.823333333333,12.544444444444",50.823333333333,12.544444444444
Gleiwitz,Gliwice,Q105084,"50.29416666666667,18.66583333333333",50.29416666666667,18.66583333333333
Glogau,Głogów,Q66013,"51.658888888889,16.080277777778",51.658888888889,16.080277777778
