em_ortsbezüge,em_ortsbezüge_wikidata,wikidata_id,coordinate_location_wikidata,coord_lat,coord_lon
Argentinien,Argentina,Q414,"-34,-64",-34,-64
Argentinien [...],Argentina,Q414,"-34,-64",-34,-64
Arica (Chile),Arica,Q2203,"-18.47838888888889,-70.32122222222222",-18.47838888888889,-70.32122222222222
Arizona,Arizona,Q816,"34.28666666666667,-111.65694444444445",34.28666666666667,-111.65694444444445
Arizona (Vereinigte Staaten USA) [...],Arizona,Q816,"34.28666666666667,-111.65694444444445",34.28666666666667,-111.65694444444445
Arizona [...],Arizona,Q816,"34.28666666666667,-111.65694444444445",34.28666666666667,-111.65694444444445
Arnheim,Arnhem,Q1310,"51.983333333333,5.9166666666667",51.983333333333,5.9166666666667
Asahan (Ost-Sumatra),Asahan,Q1795,"3,99.1667",3,99.1667
Aschaffenburg,Aschaffenburg,Q3942,"49.9740542,9.1493636",49.9740542,9.1493636
Ascona (Tessin/Schweiz),Ascona,Q63992,"46.15,8.7666666666667",46.15,8.7666666666667
Asham (?) [...],Asham,Q136952269,"48.89346,12.68104",48.89346,12.68104
Askabad (Aşgabat),Ashgabat,Q23438,"37.95,58.383333333333",37.95,58.383333333333
Assam (Indien),Assam,Q1164,"26,93",26,93
Atacama (Chile),Atacama Region,Q2120,"-27.366666666667,-70.332222222222",-27.366666666667,-70.332222222222
Atakpame,Atakpamé,Q126124,"7.5269444444444,1.1266666666667",7.5269444444444,1.1266666666667
Äthiopien,Ethiopia,Q115,"9,40",9,40
Atiu (Cookinseln),Atiu,Q755982,"-19.983333333333,-158.11666666667",-19.983333333333,-158.11666666667
Atotonilco el Grande in Hidalgo,Atotonilco el Grande Municipality,Q20241220,"20.336111111111112,-98.66888888888889",20.336111111111112,-98.66888888888889
"Atscho, Muncigebiet (Kamerun)",Kamerun,Q668294,"4.0369,9.6858",4.0369,9.6858
"Auckland, Neuseeland",Auckland,Q37100,"-36.84916666666667,174.76527777777778",-36.84916666666667,174.76527777777778
Augsburg,Augsburg,Q2749,"48.36888888888889,10.897777777777778",48.36888888888889,10.897777777777778
Augsburg (Bayern),Augsburg,Q2749,"48.36888888888889,10.897777777777778",48.36888888888889,10.897777777777778
"Augusta-Fl., Adm.I., Salomo-I., Heath-I.",Admiralty Islands,Q119230,"-2.1,146.95",-2.1,146.95
"Augusta-Fluß, Admiralitäts-Inseln",Admiralty Islands,Q119230,"-2.1,146.95",-2.1,146.95
Aurich,Aurich,Q14839,"53.471388888889,7.4836111111111",53.471388888889,7.4836111111111
Australien,Australia,Q408,"-25,133",-25,133
Autenrieth,Autenrieth,,,,
"Avalon (Santa Catalina Island, Kalifornien)",Avalon,Q695715,"33.340833333333,-118.32777777778",33.340833333333,-118.32777777778
Babelsberg,Babelsberg,Q797635,"52.4,13.1",52.4,13.1
Bad Coserow,Koserow,Q654107,"54.05,14",54.05,14
Bad Eilsen,Bad Eilsen,Q630151,"52.243055555556,9.0994444444444",52.243055555556,9.0994444444444
Bad Harzburg,Bad Harzburg,Q522459,"51.882777777778,10.561666666667",51.882777777778,10.561666666667
Bad Harzburg (Provinz Hannover) (?),Bad Harzburg,Q522459,"51.882777777778,10.561666666667",51.882777777778,10.561666666667
Bad Hersfeld,Bad Hersfeld,Q16145,"50.868333333333,9.7066666666667",50.868333333333,9.7066666666667
Bad Homburg,Bad Homburg vor der Höhe,Q4165,"50.22923611111111,8.610486111111111",50.22923611111111,8.610486111111111
Bad Kreuznach,Bad Kreuznach,Q7047,"49.846944444444,7.8669444444444",49.846944444444,7.8669444444444
Bad Nauheim,Bad Nauheim,Q16105,"50.36666666666667,8.75",50.36666666666667,8.75
Bad Oeynhausen,Bad Oeynhausen,Q6858,"52.2,8.8",52.2,8.8
Bad Soden (Taunus),Bad Soden am Taunus,Q39785,"50.142430555555556,8.499722222222223",50.142430555555556,8.499722222222223
Bad Sulza (Thüringen),Bad Sulza,Q124840,"51.087777777778,11.623333333333",51.087777777778,11.623333333333
Baden (bei Wien/Österreich),Baden,Q486450,"48.0075,16.234444444444",48.0075,16.234444444444
Baden-Baden,Baden-Baden,Q4100,"48.761944444444,8.2408333333333",48.761944444444,8.2408333333333
"Badia di Cantignano (Capannori, Provinz Lucca)",Capannori,Q216881,"43.875555555556,10.573611111111",43.875555555556,10.573611111111
Baffinland,Baffin Island,Q81178,"69,-73",69,-73
,,,"68,-70",68,-70
Bagrationowsk (Багратио́новск),Bagrationovsk,Q104354,"54.383333333333,20.633333333333",54.383333333333,20.633333333333
Bailleul,Bailleul,,,,
"Baining, Gazelle- Halbinsel",Gazelle Peninsula,Q526776,"-4.2375,152.21111111",-4.2375,152.21111111
